timestamp,AVAX,DOT
2024-01-01,41.979,8.607
2024-01-02,40.654,8.418
2024-01-03,36.768,7.624
2024-01-04,38.705,7.874
2024-01-05,36.459,7.445
2024-01-06,34.616,7.134
2024-01-07,33.633,6.897
2024-01-08,36.07,7.481
2024-01-09,34.64,7.125
2024-01-10,38.547,7.988
2024-01-11,39.31,8.149
2024-01-12,35.929,7.566
2024-01-13,36.476,7.614
2024-01-14,35.283,7.321
2024-01-15,35.602,7.507
2024-01-16,35.567,7.488
2024-01-17,36.063,7.351
2024-01-18,33.587,7.017
2024-01-19,32.723,6.89
2024-01-20,32.882,6.91
2024-01-21,32.534,6.813
2024-01-22,29.535,6.341
2024-01-23,30.608,6.355
2024-01-24,31.179,6.461
2024-01-25,30.51,6.44
2024-01-26,32.249,6.669
2024-01-27,33.256,6.668
2024-01-28,34.82,6.866
2024-01-29,36.042,7.032
2024-01-30,35.214,6.836
2024-01-31,33.172,6.651
2024-02-01,33.841,6.789
2024-02-02,36.761,6.945
2024-02-03,35.952,6.825
2024-02-04,34.853,6.665
2024-02-05,34.53,6.733
2024-02-06,34.146,6.808
2024-02-07,35.295,6.939
2024-02-08,35.422,7.011
2024-02-09,38.009,7.192
2024-02-10,40.199,7.2
2024-02-11,39.73,7.098
2024-02-12,41.002,7.342
2024-02-13,39.756,7.36
2024-02-14,42.253,7.653
2024-02-15,41.575,7.784
2024-02-16,40.276,7.655
2024-02-17,39.782,7.712
2024-02-18,40.318,7.866
2024-02-19,39.54,8.037
2024-02-20,38.523,7.735
2024-02-21,37.622,7.474
2024-02-22,36.801,7.486
2024-02-23,35.943,7.571
2024-02-24,36.783,7.826
2024-02-25,37.495,7.931
2024-02-26,39.338,8.119
2024-02-27,39.288,8.376
2024-02-28,40.373,8.35
2024-02-29,40.997,8.27
2024-03-01,42.727,8.672
2024-03-02,44.436,9.476
2024-03-03,42.647,9.79
2024-03-04,43.121,9.878
2024-03-05,39.437,9.32
2024-03-06,41.598,10.552
2024-03-07,43.26,10.415
2024-03-08,42.666,10.648
2024-03-09,42.973,10.504
2024-03-10,42.084,10.268
2024-03-11,49.194,11.062
2024-03-12,55.555,10.747
2024-03-13,54.854,11.385
2024-03-14,54.016,11.567
2024-03-15,58.457,10.821
2024-03-16,53.478,9.689
2024-03-17,58.494,10.087
2024-03-18,60.696,9.911
2024-03-19,53.664,8.769
2024-03-20,57.077,9.489
2024-03-21,53.86,9.185
2024-03-22,53.456,8.943
2024-03-23,53.482,8.976
2024-03-24,55.733,9.378
2024-03-25,57.809,9.746
2024-03-26,55.826,9.694
2024-03-27,54.146,9.457
2024-03-28,54.684,9.533
2024-03-29,53.385,9.611
2024-03-30,52.98,9.439
2024-03-31,54.134,9.658
2024-04-01,51.434,9.153
2024-04-02,46.904,8.588
2024-04-03,45.914,8.421
2024-04-04,46.534,8.492
2024-04-05,45.337,8.386
2024-04-06,48.209,8.5
2024-04-07,49.347,8.712
2024-04-08,49.906,9.05
2024-04-09,46.5,8.665
2024-04-10,47.334,8.415
2024-04-11,46.064,8.388
2024-04-12,39.331,7.234
2024-04-13,33.89,6.389
2024-04-14,37.248,6.849
2024-04-15,35.136,6.704
2024-04-16,34.734,6.696
2024-04-17,33.55,6.576
2024-04-18,34.831,6.779
2024-04-19,34.651,6.678
2024-04-20,38.289,7.236
2024-04-21,37.114,7.134
2024-04-22,39.155,7.46
2024-04-23,38.284,7.238
2024-04-24,36.352,6.928
2024-04-25,35.56,6.855
2024-04-26,34.41,6.762
2024-04-27,34.449,6.805
2024-04-28,33.941,6.723
2024-04-29,35.271,6.583
2024-04-30,32.68,6.418
2024-05-01,33.308,6.894
2024-05-02,33.562,7.27
2024-05-03,35.529,7.242
2024-05-04,37.329,7.117
2024-05-05,37.33,7.298
2024-05-06,37.1,7.116
2024-05-07,35.295,6.987
2024-05-08,33.994,6.979
2024-05-09,35.043,7.044
2024-05-10,33.698,6.742
2024-05-11,33.482,6.657
2024-05-12,33.114,6.613
2024-05-13,32.443,6.666
2024-05-14,31.572,6.482
2024-05-15,34.658,6.957
2024-05-16,34.449,7.022
2024-05-17,36.41,7.195
2024-05-18,37.222,7.155
2024-05-19,35.58,6.928
2024-05-20,40.12,7.574
2024-05-21,41.224,7.613
2024-05-22,40.037,7.47
2024-05-23,38.524,7.203
2024-05-24,38.014,7.248
2024-05-25,38.289,7.426
2024-05-26,36.76,7.561
2024-05-27,38.286,7.646
2024-05-28,37.047,7.375
2024-05-29,36.208,7.181
2024-05-30,35.995,7.001
2024-05-31,36.05,6.988
2024-06-01,35.781,7.067
2024-06-02,34.937,6.993
2024-06-03,35.048,7.012
2024-06-04,36.095,7.186
2024-06-05,36.597,7.257
2024-06-06,35.917,7.15
2024-06-07,33.515,6.654
2024-06-08,32.262,6.379
2024-06-09,32.977,6.523
2024-06-10,32.279,6.506
2024-06-11,31.546,6.375
2024-06-12,33.279,6.734
2024-06-13,30.994,6.357
2024-06-14,30.275,6.16
2024-06-15,29.994,6.219
2024-06-16,30.06,6.393
2024-06-17,28.45,6.065
2024-06-18,26.582,5.767
2024-06-19,26.927,5.793
2024-06-20,27.57,5.639
2024-06-21,27.47,5.608
2024-06-22,25.603,5.748
2024-06-23,25.069,5.649
2024-06-24,24.768,5.725
2024-06-25,25.391,5.839
2024-06-26,25.807,5.797
2024-06-27,27.904,6.285
2024-06-28,27.957,6.189
2024-06-29,27.758,6.08
2024-06-30,29.356,6.212
2024-07-01,28.825,6.327
2024-07-02,28.699,6.528
2024-07-03,26.494,6.075
2024-07-04,24.431,5.555
2024-07-05,25.118,5.683
2024-07-06,27.388,6.237
2024-07-07,25.736,5.907
2024-07-08,25.188,5.94
2024-07-09,26.425,6.116
2024-07-10,25.74,6.092
2024-07-11,25.184,5.9
2024-07-12,25.954,6.1
2024-07-13,25.833,6.231
2024-07-14,26.332,6.316
2024-07-15,27.819,6.483
2024-07-16,27.995,6.334
2024-07-17,27.223,6.25
2024-07-18,27.118,6.088
2024-07-19,28.148,6.336
2024-07-20,29.093,6.329
2024-07-21,32.628,6.427
2024-07-22,31.859,6.092
2024-07-23,29.797,5.913
2024-07-24,28.356,5.742
2024-07-25,27.222,5.751
2024-07-26,28.693,5.862
2024-07-27,28.033,5.821
2024-07-28,27.377,5.716
2024-07-29,26.978,5.647
2024-07-30,26.303,5.516
2024-07-31,25.69,5.386
2024-08-01,25.688,5.338
2024-08-02,23.585,5.12
2024-08-03,22.656,5.041
2024-08-04,21.246,4.687
2024-08-05,19.527,4.195
2024-08-06,20.875,4.505
2024-08-07,19.842,4.575
2024-08-08,22.724,4.876
2024-08-09,21.735,4.781
2024-08-10,21.564,4.751
2024-08-11,20.386,4.493
2024-08-12,21.247,4.584
2024-08-13,21.367,4.543
2024-08-14,20.944,4.38
2024-08-15,20.108,4.274
2024-08-16,20.359,4.289
2024-08-17,20.688,4.366
2024-08-18,20.803,4.388
2024-08-19,21.196,4.479
2024-08-20,22.247,4.52
2024-08-21,23.518,4.661
2024-08-22,25.196,4.688
2024-08-23,26.483,4.89
2024-08-24,27.101,4.981
2024-08-25,26.898,4.816
2024-08-26,25.929,4.553
2024-08-27,24.067,4.374
2024-08-28,23.432,4.251
2024-08-29,22.879,4.249
2024-08-30,23.274,4.276
2024-08-31,22.786,4.255
2024-09-01,21.397,4.065
2024-09-02,22.351,4.206
2024-09-03,21.374,4.059
2024-09-04,21.893,4.109
2024-09-05,21.356,4.019
2024-09-06,21.143,3.956
2024-09-07,21.784,4.079
2024-09-08,23.231,4.162
2024-09-09,23.829,4.285
2024-09-10,24.336,4.248
2024-09-11,23.264,4.19
2024-09-12,24.005,4.293
2024-09-13,24.898,4.418
2024-09-14,25.317,4.435
2024-09-15,23.779,4.392
2024-09-16,23.496,4.192
2024-09-17,23.762,4.154
2024-09-18,24.697,4.174
2024-09-19,26.651,4.252
2024-09-20,27.655,4.337
2024-09-21,27.764,4.46
2024-09-22,27.287,4.307
2024-09-23,27.379,4.455
2024-09-24,28.462,4.634
2024-09-25,27.27,4.635
2024-09-26,29.155,4.812
2024-09-27,30.424,4.884
2024-09-28,29.277,4.794
2024-09-29,29.02,4.765
2024-09-30,27.698,4.429
2024-10-01,25.801,4.15
2024-10-02,25.317,4.099
2024-10-03,24.633,4.128
2024-10-04,26.248,4.193
2024-10-05,25.65,4.135
2024-10-06,26.916,4.189
2024-10-07,26.546,4.128
2024-10-08,26.335,4.102
2024-10-09,25.758,4.021
2024-10-10,25.842,4.071
2024-10-11,27.451,4.172
2024-10-12,28.624,4.204
2024-10-13,29.048,4.161
2024-10-14,29.047,4.377
2024-10-15,28.195,4.407
2024-10-16,28.007,4.312
2024-10-17,27.286,4.19
2024-10-18,28.077,4.31
2024-10-19,28.089,4.429
2024-10-20,28.97,4.578
2024-10-21,27.738,4.376
2024-10-22,27.629,4.323
2024-10-23,26.733,4.208
2024-10-24,26.819,4.207
2024-10-25,24.907,3.993
2024-10-26,25.388,4.034
2024-10-27,25.744,4.126
2024-10-28,26.252,4.13
2024-10-29,26.869,4.195
2024-10-30,26.161,4.191
2024-10-31,24.999,3.957
2024-11-01,24.773,3.908
2024-11-02,24.101,3.906
2024-11-03,23.517,3.783
2024-11-04,22.717,3.749
2024-11-05,23.973,3.855
2024-11-06,27.007,4.114
2024-11-07,27.395,4.166
2024-11-08,28.788,4.326
2024-11-09,30.389,4.635
2024-11-10,31.904,5.244
2024-11-11,35.748,5.714
2024-11-12,33.971,5.312
2024-11-13,33.13,5.078
2024-11-14,31.207,4.78
2024-11-15,33.132,5.164
2024-11-16,35.172,5.785
2024-11-17,34.738,5.425
2024-11-18,35.509,6.009
2024-11-19,34.224,5.807
2024-11-20,33.598,5.725
2024-11-21,35.873,5.939
2024-11-22,43.208,6.634
2024-11-23,41.463,8.523
2024-11-24,42.083,8.829
2024-11-25,41.335,8.242
2024-11-26,42.752,8.072
2024-11-27,43.819,8.462
2024-11-28,42.806,8.622
2024-11-29,44.886,9.031
2024-11-30,44.845,8.953
2024-12-01,45.145,9.299
2024-12-02,52.312,10.022
2024-12-03,50.931,9.783
2024-12-04,52.815,10.526
2024-12-05,50.314,10.381
2024-12-06,52.517,10.682
2024-12-07,51.632,10.604
2024-12-08,54.024,10.402
2024-12-09,44.98,8.467
2024-12-10,44.589,8.389
2024-12-11,48.446,8.992
2024-12-12,53.124,9.06
2024-12-13,52.781,9.088
2024-12-14,49.83,8.55
2024-12-15,50.765,9.027
2024-12-16,48.979,8.754
2024-12-17,47.898,8.485
2024-12-18,42.75,7.676
2024-12-19,38.807,6.937
2024-12-20,39.835,7.288
2024-12-21,37.408,6.97
2024-12-22,36.557,6.839
2024-12-23,39.083,7.38
2024-12-24,41.217,7.547
2024-12-25,40.236,7.498
2024-12-26,37.309,6.93
2024-12-27,36.552,6.907
2024-12-28,37.731,7.11
2024-12-29,35.818,6.862
2024-12-30,35.966,6.701
2024-12-31,35.688,6.637
2025-01-01,37.771,7.052
2025-01-02,39.276,7.175
2025-01-03,41.955,7.749
2025-01-04,42.624,7.676
2025-01-05,43.112,7.67
2025-01-06,44.048,7.768
2025-01-07,39.187,7.008
2025-01-08,37.4,6.755
2025-01-09,36.177,6.553
2025-01-10,36.646,6.727
2025-01-11,37.114,6.738
2025-01-12,36.54,6.629
2025-01-13,35.27,6.392
2025-01-14,36.552,6.665
2025-01-15,39.811,7.161
2025-01-16,40.054,7.149
2025-01-17,41.359,7.502
2025-01-18,39.221,7.039
2025-01-19,35.659,6.242
2025-01-20,36.008,6.377
2025-01-21,36.947,6.624
2025-01-22,36.798,6.447
2025-01-23,35.545,6.35
2025-01-24,35.324,6.317
2025-01-25,36.609,6.321
2025-01-26,35.724,6.172
2025-01-27,34.17,5.949
2025-01-28,32.048,5.646
2025-01-29,32.779,5.762
2025-01-30,34.278,6.123
2025-01-31,34.421,6.318
2025-02-01,32.089,5.904
2025-02-02,27.614,5.15
2025-02-03,28.382,5.174
2025-02-04,26.448,4.738
2025-02-05,25.836,4.686
2025-02-06,24.488,4.487
2025-02-07,24.447,4.588
2025-02-08,24.569,4.741
2025-02-09,24.86,4.759
2025-02-10,25.658,4.842
2025-02-11,25.376,4.806
2025-02-12,26.491,5.225
2025-02-13,25.382,5.128
2025-02-14,26.371,5.169
2025-02-15,25.468,5.018
2025-02-16,24.842,4.875
2025-02-17,25.017,4.887
2025-02-18,23.513,4.766
2025-02-19,23.715,4.881
2025-02-20,25.142,5.044
2025-02-21,24.531,5.058
2025-02-22,25.823,5.041
2025-02-23,24.833,4.951
2025-02-24,21.866,4.412
2025-02-25,21.936,4.638
2025-02-26,21.859,4.753
2025-02-27,22.519,4.932
2025-02-28,22.368,4.711
2025-03-01,21.853,4.661
2025-03-02,24.941,5.202
2025-03-03,20.931,4.469
2025-03-04,19.982,4.326
2025-03-05,21.713,4.521
2025-03-06,20.988,4.428
2025-03-07,20.13,4.41
2025-03-08,20.488,4.287
2025-03-09,17.959,4.015
2025-03-10,16.253,3.866
2025-03-11,17.498,4.041
2025-03-12,18.904,3.966
2025-03-13,18.496,3.977
2025-03-14,18.557,4.184
2025-03-15,19.385,4.347
2025-03-16,18.245,4.296
2025-03-17,18.809,4.369
2025-03-18,18.972,4.448
2025-03-19,19.721,4.535
2025-03-20,18.736,4.396
2025-03-21,19.17,4.497
2025-03-22,19.417,4.443
2025-03-23,19.807,4.5
2025-03-24,21.471,4.619
2025-03-25,22.89,4.635
2025-03-26,22.041,4.691
2025-03-27,22.003,4.621
2025-03-28,20.351,4.278
2025-03-29,19.589,4.047
2025-03-30,18.855,4.041
2025-03-31,18.762,4.019
2025-04-01,19.809,4.169
2025-04-02,17.968,3.963
2025-04-03,18.144,4.057
2025-04-04,18.178,4.031
2025-04-05,17.869,3.954
2025-04-06,16.032,3.681
2025-04-07,16.677,3.59
2025-04-08,16.137,3.375
2025-04-09,18.431,3.641
2025-04-10,18.303,3.461
2025-04-11,19.112,3.555
2025-04-12,20.48,3.711
2025-04-13,19.574,3.665
2025-04-14,20.105,3.673
2025-04-15,19.002,3.517
2025-04-16,18.742,3.555
2025-04-17,19.037,3.633
2025-04-18,19.058,3.673
2025-04-19,19.886,3.878
2025-04-20,19.491,3.878
2025-04-21,19.908,3.776
2025-04-22,22.103,4.008
2025-04-23,22.326,4.093
2025-04-24,22.369,4.269
2025-04-25,22.152,4.251
2025-04-26,22.398,4.262
2025-04-27,21.699,4.086
2025-04-28,21.83,4.239
2025-04-29,21.547,4.143
2025-04-30,20.899,4.063
2025-05-01,21.626,4.174
2025-05-02,21.241,4.159
2025-05-03,20.509,4.024
2025-05-04,19.886,3.917
2025-05-05,19.672,3.915
2025-05-06,20.005,3.968
2025-05-07,19.537,3.967
2025-05-08,22.15,4.455
2025-05-09,23.266,4.8
2025-05-10,25.81,5.306
2025-05-11,24.776,5.095
2025-05-12,24.824,5.068
2025-05-13,25.71,5.19
2025-05-14,24.947,4.978
2025-05-15,23.495,4.776
2025-05-16,23.047,4.752
2025-05-17,22.165,4.61
2025-05-18,23.041,4.791
2025-05-19,22.244,4.593
2025-05-20,22.597,4.674
2025-05-21,23.164,4.736
2025-05-22,25.25,4.946
2025-05-23,23.063,4.558
2025-05-24,22.937,4.542
2025-05-25,23.43,4.521
2025-05-26,23.047,4.464
2025-05-27,23.361,4.532
2025-05-28,23.599,4.585
2025-05-29,22.236,4.331
2025-05-30,20.535,4.047
2025-05-31,20.786,4.074
2025-06-01,20.869,4.063
2025-06-02,21.143,4.146
2025-06-03,21.129,4.136
2025-06-04,20.076,4.005
2025-06-05,18.73,3.81
2025-06-06,19.637,3.883
2025-06-07,20.646,4.029
2025-06-08,21.038,4.022
2025-06-09,21.941,4.151
2025-06-10,22.567,4.293
2025-06-11,21.56,4.186
2025-06-12,20.27,3.917
2025-06-13,19.403,3.834
2025-06-14,18.926,3.779
2025-06-15,19.099,3.819
2025-06-16,19.049,3.846
2025-06-17,18.574,3.715
2025-06-18,18.155,3.621
2025-06-19,18.045,3.546
2025-06-20,17.357,3.437
2025-06-21,16.811,3.322
2025-06-22,16.513,3.151
2025-06-23,18.051,3.414
2025-06-24,18.224,3.438
2025-06-25,17.567,3.351
2025-06-26,17.222,3.297
2025-06-27,17.569,3.358
2025-06-28,17.965,3.405
2025-06-29,18.728,3.541
2025-06-30,17.958,3.395
2025-07-01,17.093,3.279
2025-07-02,18.519,3.545
2025-07-03,18.535,3.538
2025-07-04,17.782,3.355
2025-07-05,17.904,3.352
2025-07-06,18.281,3.393
2025-07-07,17.985,3.367
2025-07-08,18.359,3.447
2025-07-09,19.5,3.619
2025-07-10,20.702,3.88
2025-07-11,20.672,3.906
2025-07-12,20.684,3.89
2025-07-13,21.184,3.983
2025-07-14,21.255,3.949
2025-07-15,22.504,4.082
2025-07-16,22.651,4.156
2025-07-17,23.905,4.26
2025-07-18,23.515,4.229
2025-07-19,24.496,4.408
2025-07-20,25.039,4.481
2025-07-21,25.435,4.5
2025-07-22,25.9,4.552
2025-07-23,24.214,4.264
